請問您是否為大學生或研究生,性別,出生地,居住地,家中是否有裝淨、濾水裝置?,家中的飲用水主要來源為?,本身是否曾經歷過水災?,在居住經驗中，是否曾經因缺水而被限水?,臺灣自來水一度的平均價錢約為多少元?,臺灣的自來水普及率約為,請問臺灣污水下水道的接管率平均約為,污水下水道接受的汙水來源是下列何者,臺灣地區用水量比例最高的是下列何者?,水費單上標示的一度水等同於幾公升?,"一般而言,下列何者占臺灣家庭用水量最大比例?",臺灣污染最嚴重的河川位在哪一個地區,我認為高雄愛河的水質污染程度平均來說大約在,"我在購買市面上的瓶裝水時,會特地留意瓶裝水的水源來源。",我發現近年來臺灣發生水旱災的頻率變高。,我會關心用水危機的相關訊息。,我認為將經過高級處理的淨水使用在澆花、洗車等方面是浪費的。,我認為在家裡回收水資源再利用是一件麻煩的事情。,"韓國首爾清溪川引漢江水,經污水處理廠處理後成為原水,搭配燈光與景觀工程打造都市水岸,是符合永續原則的作法。",氣候變遷造成臺灣水資源受到威脅是我們無力改善的事實。,我覺得民眾無法干涉與影響政府的治水政策。,"最近臺灣缺水的事件只是湊巧出現,我認為不會發生在我身上。",我可以主動地告訴大家如何正確用水。,我會告訴大家怎麼做才能讓水的使用更永續。,我會告訴身邊的人平時盡量自備水壺或環保杯。,我會關心使用清潔劑對水資源造成的污染。,家中的自來水塔或自來水管都有定期清理。,"為了水資源的永續利用,我會減少淋浴的時間和泡澡的次數。",我家裡使用過的水會回收再利用(例:洗澡水沖廁所)。,"使用過的紙餐盒,我都會以水清洗過再回收。"
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,答錯,答錯,答對,答錯,答錯,答對,答錯,答對,答錯,4,2,3,3,4,4,2,2,2,2,2,3,3,4,4,2,4
是,女,南部地區,南部地區,無,加水站,是,是,答錯,答對,答錯,答對,答錯,答對,答對,答錯,答錯,3,3,4,3,3,4,3,4,2,3,3,4,3,3,5,4,4
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水車,否,是,答錯,答對,答對,答錯,答錯,答對,答錯,答對,答錯,5,4,5,2,4,5,1,1,1,4,5,5,5,5,5,5,5
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,否,答錯,答錯,答錯,答對,答對,答對,答錯,答對,答錯,1,5,5,5,1,5,2,1,1,4,5,5,5,5,5,2,5
是,男,中部地區,中部地區,無,加水站,是,是,答對,答錯,答錯,答對,答對,答對,答錯,答對,答錯,4,4,4,4,3,3,2,2,2,4,4,3,4,4,4,3,3
是,女,南部地區,南部地區,無,加水站,是,是,答錯,答對,答對,答對,答錯,答對,答錯,答錯,答錯,3,4,4,4,3,3,3,3,2,3,3,3,3,3,4,2,3
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答對,答錯,答對,答錯,答對,答錯,5,5,3,5,3,5,3,1,1,3,3,3,1,5,5,5,5
是,女,南部地區,中部地區,無,加水站,否,否,答對,答對,答對,答對,答對,答對,答對,答對,答錯,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答錯,答錯,答對,答錯,答錯,答錯,答對,答錯,2,5,5,4,2,3,2,2,1,4,3,3,2,3,4,3,4
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答錯,答錯,答錯,答錯,答對,答錯,4,4,3,5,4,4,4,4,4,4,4,2,4,4,4,4,4
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,答對,答錯,答對,答錯,答錯,答錯,答錯,答錯,答錯,2,4,4,5,4,4,2,3,2,4,3,2,4,4,4,4,2
是,男,北部地區,北部地區,無,自來水,否,是,答錯,答錯,答錯,答對,答錯,答對,答對,答錯,答錯,3,4,3,3,3,5,2,2,2,3,3,3,3,3,3,3,2
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,答錯,答錯,答對,答錯,答對,答錯,答錯,答錯,答錯,5,5,5,5,5,5,5,5,3,3,3,5,3,3,5,5,5
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答錯,答對,答錯,答錯,答錯,4,4,5,3,2,4,2,1,1,5,4,4,4,3,4,3,3
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答對,答對,答對,答錯,答對,答錯,1,3,3,5,3,5,4,3,1,3,3,3,3,3,3,3,3
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,是,是,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答對,答錯,1,3,3,5,4,4,2,2,1,3,1,4,1,4,1,1,4
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答對,答對,答對,答對,答錯,答錯,答對,答錯,2,5,4,5,4,5,2,2,1,3,3,3,3,3,4,3,4
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,否,答錯,答對,答錯,答對,答錯,答錯,答錯,答對,答錯,2,5,3,5,1,3,3,4,1,4,4,4,4,4,4,4,4
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答對,答錯,答錯,答對,答錯,3,4,4,3,2,4,2,3,1,3,3,3,3,4,4,4,3
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答錯,答對,答錯,答錯,答對,答錯,3,4,4,3,3,4,4,1,1,3,3,4,3,3,4,2,1
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答對,答錯,答錯,答錯,答對,答對,答對,1,4,3,4,3,3,3,2,2,2,2,4,3,5,2,2,2
是,女,東部地區,中部地區,無,自來水,是,是,答對,答錯,答對,答對,答錯,答錯,答錯,答錯,答對,1,3,2,4,3,4,4,2,1,3,4,4,2,3,4,2,4
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,答對,答對,答錯,答對,答錯,答錯,答錯,答對,答錯,2,2,2,4,3,5,4,2,3,1,1,1,2,2,3,3,2
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,答錯,答對,答對,答錯,答對,答錯,答對,答錯,答對,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3
是,女,北部地區,中部地區,無,其他,是,是,答錯,答對,答錯,答對,答錯,答對,答對,答對,答錯,1,5,3,4,3,3,2,2,1,3,3,3,2,3,3,2,5
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,答錯,答錯,答錯,答錯,答對,答錯,答錯,答對,答對,3,4,4,4,4,3,4,2,2,3,3,3,3,4,3,2,5
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答錯,答錯,答錯,答錯,答錯,答錯,3,4,3,3,5,5,4,2,1,3,3,1,1,4,5,1,2
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,否,是,答錯,答錯,答對,答對,答錯,答錯,答錯,答錯,答對,3,5,5,5,3,2,2,2,1,3,2,4,3,5,5,2,2
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答對,答錯,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答對,答錯,答對,答錯,答錯,答對,答對,答對,5,5,5,5,3,3,4,2,1,4,4,5,3,3,4,2,5
是,女,北部地區,北部地區,無,自來水,是,否,答對,答錯,答對,答錯,答對,答對,答錯,答錯,答錯,3,5,4,5,2,4,3,3,3,4,4,5,5,3,5,5,3
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答錯,答錯,答對,答錯,答錯,2,3,3,3,1,4,2,2,1,3,3,3,3,3,4,5,4
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,否,答錯,答錯,答對,答對,答錯,答錯,答錯,答對,答錯,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,否,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答對,3,4,2,5,4,5,3,3,1,2,2,4,1,1,5,2,2
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答對,答錯,答錯,答對,答對,4,4,4,5,4,4,4,1,2,4,4,4,4,2,4,2,2
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答錯,答對,答錯,答錯,答對,答對,1,4,4,4,3,4,5,2,2,3,3,3,3,2,4,3,1
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答錯,答對,答錯,答對,答對,3,5,4,3,4,3,2,1,1,4,3,3,2,3,4,5,3
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,是,答對,答錯,答對,答錯,答錯,答錯,答錯,答對,答錯,4,5,4,5,3,3,3,2,2,3,3,4,2,4,4,4,3
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,否,是,答錯,答對,答錯,答對,答錯,答對,答錯,答對,答錯,3,4,5,4,3,5,3,3,2,3,3,4,4,5,5,3,5
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答錯,答錯,答對,答錯,答對,答錯,答對,答對,2,5,5,2,3,4,3,2,1,3,4,2,4,3,5,3,2
是,女,北部地區,中部地區,無,自來水,否,是,答錯,答對,答對,答錯,答錯,答對,答錯,答對,答錯,3,5,4,4,4,3,2,1,1,3,2,4,3,5,4,2,3
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,是,答錯,答錯,答錯,答對,答錯,答對,答錯,答錯,答對,5,4,4,5,2,4,3,2,1,3,4,4,3,4,4,1,3
是,男,中部地區,中部地區,無,自來水,否,是,答對,答對,答對,答對,答錯,答錯,答錯,答錯,答對,1,3,4,2,4,5,4,3,1,5,5,5,5,5,4,5,4
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,答錯,答錯,答對,答對,答錯,答錯,答錯,答對,答錯,2,5,5,4,1,5,2,2,1,5,5,5,3,4,4,4,3
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答錯,答對,答錯,答對,答對,2,1,4,5,1,5,1,1,1,3,3,4,2,4,5,5,2
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答錯,答錯,答錯,答對,答對,1,5,3,5,3,5,4,2,1,2,2,2,2,5,3,2,4
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答錯,答錯,3,4,5,4,2,4,2,2,1,4,4,4,5,3,4,2,4
是,女,中部地區,中部地區,無,市售礦泉水,否,是,答錯,答錯,答對,答對,答錯,答錯,答對,答對,答對,2,4,4,4,2,3,3,2,2,2,3,3,2,2,4,4,3
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,答錯,答錯,答錯,答對,答錯,答對,答錯,答對,答錯,1,4,3,4,3,4,5,2,2,1,2,3,3,1,4,2,3
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,答錯,答對,答錯,答錯,答錯,答錯,答錯,答對,答錯,5,3,4,4,3,3,1,2,1,1,1,1,2,3,5,1,3
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答對,答錯,答對,答對,答對,2,4,4,3,3,4,2,2,1,3,3,4,3,3,4,2,4
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答錯,答對,1,5,4,1,1,5,2,1,1,4,4,5,2,1,4,3,5
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答錯,答錯,3,4,5,4,2,4,2,2,1,4,4,4,5,3,4,2,4
是,女,其他,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,否,是,答錯,答對,答錯,答錯,答對,答錯,答錯,答錯,答對,1,1,1,5,4,5,3,2,1,3,1,5,1,1,1,4,4
是,女,北部地區,北部地區,無,自來水,是,否,答錯,答錯,答對,答對,答錯,答錯,答錯,答對,答對,1,3,4,4,3,2,2,2,1,3,2,2,4,2,5,3,4
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答對,答錯,答錯,答錯,答對,2,5,5,1,1,4,2,1,1,4,4,3,4,2,4,1,1
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,否,否,答錯,答錯,答錯,答對,答錯,答錯,答錯,答對,答對,1,5,5,2,3,5,3,5,1,3,3,5,3,5,1,5,3
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水車,是,是,答錯,答錯,答對,答對,答對,答對,答對,答對,答錯,5,5,5,5,5,5,1,1,1,3,3,4,3,3,4,1,5
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,答錯,答錯,答錯,答對,答錯,答對,答錯,答對,答對,2,4,3,4,3,5,5,2,3,3,2,4,2,3,4,4,4
是,女,南部地區,中部地區,無,加水站,是,是,答錯,答錯,答對,答錯,答錯,答對,答錯,答對,答對,4,4,4,4,2,4,4,2,2,3,3,4,4,3,4,4,3
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答錯,答錯,答對,答錯,答對,答對,2,5,4,3,2,3,3,3,1,3,4,5,4,2,5,5,2
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答錯,答對,3,5,4,5,3,3,2,4,1,3,3,1,3,2,4,3,2
是,男,中部地區,中部地區,無,市售礦泉水,否,是,答錯,答錯,答錯,答對,答對,答錯,答錯,答對,答錯,1,3,2,1,5,5,3,1,1,1,1,1,1,1,1,1,1
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,答對,答錯,答錯,答對,答錯,答對,答對,答對,答對,1,4,4,5,3,3,1,1,2,3,3,3,1,4,4,4,4
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答對,答錯,答錯,答對,答錯,答錯,2,5,5,5,2,5,2,4,2,5,4,4,5,1,5,4,5
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答錯,4,5,4,5,2,3,1,1,1,2,2,1,1,3,4,2,4
是,女,北部地區,北部地區,無,自來水,否,是,答錯,答錯,答錯,答錯,答錯,答錯,答對,答錯,答對,3,4,4,5,3,4,2,2,2,3,3,3,3,4,2,2,1
是,男,北部地區,中部地區,無,市售礦泉水,否,否,答錯,答對,答錯,答對,答錯,答對,答錯,答錯,答錯,3,3,5,3,5,4,4,3,2,4,4,4,4,3,5,1,1
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,答對,答對,答錯,答錯,答錯,答錯,答錯,答對,答錯,1,3,5,5,2,5,5,2,2,3,3,5,3,5,4,2,3
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答對,答對,答對,答錯,答錯,3,3,2,5,2,3,4,2,1,2,3,3,2,1,2,1,3
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答錯,答對,答錯,答錯,答錯,答對,答對,答對,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
是,女,南部地區,南部地區,無,自來水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答對,答對,5,5,5,5,1,5,1,1,1,5,5,5,5,3,5,5,5
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,是,是,答錯,答對,答對,答錯,答錯,答錯,答錯,答對,答對,5,3,5,5,2,4,2,2,1,2,4,4,5,3,5,3,5
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答錯,答錯,答錯,答錯,答對,答對,1,5,5,5,3,1,4,2,1,3,3,1,1,5,5,1,5
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,答錯,答錯,答對,答對,答錯,答錯,答錯,答對,答錯,3,5,4,4,2,4,3,2,1,4,4,3,4,4,4,3,4
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答對,答對,答對,答對,答錯,答錯,答對,答對,1,5,5,3,1,5,2,1,1,3,4,3,4,5,5,3,5
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答對,答錯,答對,答錯,答錯,答錯,2,5,5,3,4,5,3,1,1,3,3,4,3,3,5,4,1
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答對,答對,答對,答對,答錯,答對,答對,答錯,答對,4,4,4,5,1,4,2,1,1,4,4,4,3,4,5,4,4
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,答錯,答錯,答錯,答錯,答錯,答錯,答對,答錯,答錯,4,4,4,5,1,5,1,2,1,3,3,5,3,5,4,3,5
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,是,否,答錯,答錯,答錯,答錯,答錯,答對,答錯,答錯,答對,2,2,4,3,2,4,2,1,1,4,2,3,2,2,1,4,4
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答對,答錯,答錯,答錯,答錯,答錯,答錯,2,2,3,3,3,4,3,2,2,2,2,3,2,3,2,2,4
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答對,答錯,答錯,答錯,答錯,答錯,答對,答對,2,4,4,4,4,4,2,2,2,2,3,4,4,2,3,2,3
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答對,答對,5,5,5,5,2,4,1,1,1,5,5,5,5,5,1,2,5
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,答對,答錯,答錯,答錯,答錯,答對,答錯,答對,答對,5,5,5,5,4,4,3,3,1,4,4,4,4,4,5,4,3
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,答錯,答錯,答錯,答錯,答對,答對,答錯,答錯,答對,2,4,3,3,5,5,3,2,1,3,4,5,2,3,5,1,2
是,男,北部地區,中部地區,無,市售礦泉水,否,是,答錯,答對,答錯,答對,答錯,答錯,答錯,答對,答對,3,5,4,5,4,5,5,3,1,3,3,3,5,3,3,2,2
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,否,是,答錯,答錯,答錯,答對,答錯,答錯,答錯,答對,答錯,3,3,4,3,2,3,2,2,1,1,1,3,1,1,4,3,5
